Argument (Default value),Description
#title '',"The title of the popup, as HTML."
#titleText '',"The title of the popup, as text. Useful to avoid HTML injection."
#html '',"A HTML description for the popup. If text and html parameters are provided in the same time,html will be used. [Security] SweetAlert2 does NOT sanitize this parameter. It is the developer's responsibility to escape any user input when using the html option, so XSS attacks would be prevented."
#text '',"A description for the popup. If text and html parameters are provided in the same time,html will be used."
#icon undefined,"The icon of the popup. SweetAlert2 comes with 5 built-in icon which will show a corresponding icon animation: warning, error, success, info, and question. It can either be put in the array under the key ""icon"" or passed as the third parameter of the function."
#iconColor undefined,Use this to change the color of the icon.
#iconHtml undefined,The custom HTML content for an icon.
#animation true,"If set to false, the popup animation will be disabled"
#theme 'light',"Theme of the popup. 'light', 'dark', 'auto', and 'borderless' for now. This is a new feature, more themes are coming. Feel free to request new themes (or create your own and PR it)."
"#showClass {  popup: 'swal2-show',  backdrop: 'swal2-backdrop-show',  icon: 'swal2-icon-show' }",CSS classes for animations when showing a popup (fade in)
"#hideClass {  popup: 'swal2-hide',  backdrop: 'swal2-backdrop-hide',  icon: 'swal2-icon-hide' }",CSS classes for animations when hiding a popup (fade out)
#footer '',The footer of the popup. Can be either plain text or HTML.
#backdrop true,Whether or not SweetAlert2 should show a full screen click-to-dismiss backdrop. Can be either a boolean or a string which will be assigned to the CSS background property.
#toast false,Whether or not an alert should be treated as a toast notification. This option is normally coupled with theposition parameter and a timer. Toasts are NEVER autofocused.
#target 'body',The container element for adding popup into.
#topLayer false,Set to `true` to put the popup on top of all other elements (Top Layer).
#input undefined,"Input field type, can be text, email, password, number, tel, range, textarea, search, url, select, radio, checkbox, file, date, datetime-local, time, week, month."
#width '32em',"Popup window width, including paddings (box-sizing: border-box). Can be in any CSS unit (px, em/rem, %)."
#padding '0 0 1.25em',"Popup window padding. Can be in any CSS unit (px, em/rem, %)."
#color undefined,"Color for title, content and footer (CSS color property). The default color is '#545454'."
#background undefined,Popup window background (CSS background property). The default background is '#fff'.
#position 'center',"Popup window position, can be 'top', 'top-start', 'top-end', 'center', 'center-start', 'center-end', 'bottom', 'bottom-start', or 'bottom-end'."
#grow false,"Paired with window position, sets the direction the popup should grow in, can be set to'row', 'column', 'fullscreen', or false."
#customClass undefined,"A custom CSS class for the popup:customClass: {  container: '...',  popup: '...',  header: '...',  title: '...',  closeButton: '...',  icon: '...',  image: '...',  htmlContainer: '...',  input: '...',  inputLabel: '...',  validationMessage: '...',  actions: '...',  confirmButton: '...',  denyButton: '...',  cancelButton: '...',  loader: '...',  footer: '....',  timerProgressBar: '....', }"
#timer undefined,"Auto close timer of the popup. Set in ms (milliseconds). See also Swal.getTimerLeft(), Swal.stopTimer(), Swal.resumeTimer(), Swal.toggleTimer(), Swal.isTimerRunning() and Swal.increaseTimer()."
#timerProgressBar false,"If set to true, the timer will have a progress bar at the bottom of a popup. Mostly, this feature is useful with toasts."
#heightAuto true,"By default, SweetAlert2 sets html's and body's CSS height to auto !important. If this behavior isn't compatible with your project's layout, set heightAuto to false."
#allowOutsideClick true,"If set to false, the user can't dismiss the popup by clicking outside it. You can also pass a custom function returning a boolean value, e.g. if you want to disable outside clicks for the loading state of a popup."
#allowEscapeKey true,"If set to false, the user can't dismiss the popup by pressing the Esc key. You can also pass a custom function returning a boolean value, e.g. if you want to disable the Esc key for the loading state of a popup."
#stopKeydownPropagation true,"If set to false, SweetAlert2 will allow keydown events propagation to the document."
#keydownListenerCapture false,"Useful for those who are using SweetAlert2 along with Bootstrap modals. By default keydownListenerCapture is false which means when a user hits Esc, both SweetAlert2 and Bootstrap modals will be closed. Set keydownListenerCapture to true to fix that behavior."
#showConfirmButton true,"If set to false, a ""Confirm""-button will not be shown."
#showDenyButton false,"If set to true, a ""Deny""-button will be shown. It can be useful when you want a popup with 3 buttons."
#showCancelButton false,"If set to true, a ""Cancel""-button will be shown, which the user can click on to dismiss the modal."
#confirmButtonText 'OK',"Use this to change the text on the ""Confirm""-button."
#denyButtonText 'No',"Use this to change the text on the ""Deny""-button."
#cancelButtonText 'Cancel',"Use this to change the text on the ""Cancel""-button."
#confirmButtonColor undefined,"Use this to change the background color of the ""Confirm""-button. The default color is #3085d6"
#denyButtonColor undefined,"Use this to change the background color of the ""Deny""-button. The default color is #dd6b55"
#cancelButtonColor undefined,"Use this to change the background color of the ""Cancel""-button. The default color is #aaa"
#confirmButtonAriaLabel '',"Use this to change the aria-label for the ""Confirm""-button."
#denyButtonAriaLabel '',"Use this to change the aria-label for the ""Deny""-button."
#cancelButtonAriaLabel '',"Use this to change the aria-label for the ""Cancel""-button."
#buttonsStyling true,Apply default styling to buttons. If you want to use your own classes (e.g. Bootstrap classes) set this parameter to false.
#reverseButtons false,"Set to true if you want to invert default buttons positions (""Confirm""-button on the right side)."
#focusConfirm true,"Set to false if you want to focus the first element in tab order instead of ""Confirm""-button by default."
